drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Ipsilateral Cable Row,Staying Closed,3 - Loading,2,"cable column","Same-side cable row to train connection between the front side and trunk — reinforces holding the front side/trunk closed against rotational pull.","3 x 8 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,2,"Tread weight-room lead-leg-block list (6/7). relevance: front-side connection so the trunk stays neutral/closed while the hips rotate (separation)."
3D Strap Rotations,Hip Rotation,3 - Loading,3,"strap/band anchor","Multi-plane strap rotations driving hip-led rotation through the front-leg block in all three planes; patterns rotate-into-brace.","3 x 5 each plane",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (7/7). relevance: rehearses hip rotation INTO a posted front leg — the rotate-then-block sequence Landon misses."
"Throw Harder By Mastering Hip-Shoulder Separation [Full Routine]",Staying Closed,3 - Loading,3,"plyo balls, band, baseball","Full separation routine: counter-rotation and band-tension constraints to feel the pelvis rotating underneath a neutral, closed trunk, progressing into loaded throws. Trunk stays closed while hips fire.","follow routine",Tread Athletics YouTube,https://www.youtube.com/watch?v=KHenXJxkm3Q,,Phase 4,5,"Tread Hip-Shoulder Separation 'Full Routine' series. relevance: restores the separation window Landon loses when his shoulders fly open with the hips."
7 Drills To Increase Hip To Shoulder Separation,Staying Closed,2 - Pattern,2,"plyo balls, band","Seven constraint drills to grow hip-shoulder separation: pelvis-underneath-neutral-trunk and counter-rotation variations; keep the front shoulder closed while the pelvis rotates.","7 drills, 4-5 reps",Tread Athletics YouTube,https://www.youtube.com/watch?v=_5BEUF9XX_s,,Phase 3,5,"Tread separation series. relevance: trains trunk-neutral-while-hips-rotate — exactly the separation Landon can't create."
Throw Harder By Using Hip Shoulder Separation,Staying Closed,1 - Diagnosis,2,"camera, mound","Explainer + drill on how separation is created and timed (positive separation at foot strike); diagnoses shoulders flying open early with the pelvis.",,Tread Athletics YouTube,https://www.youtube.com/watch?v=CFuo1ijJYnc,,Phase 3,4,"relevance: identifies Landon's lost separation (shoulders open with hips) and the late-trunk fix."
How To Feel Hip-Shoulder Separation (band + counter-rotation constraints),Staying Closed,2 - Pattern,3,"resistance band, plyo ball","Two stacked constraints for pitchers who can't feel pelvis/trunk independence: (1) band tension to open the back hip, (2) a counter-rotation component. Cue: relax, don't force the hips through.","3 x 5 each",Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7519592623133265166,,Phase 3,4,"relevance: back-hip band tension + counter-rotation are the exact constraints for Landon's leaked back hip + lost separation."
Hip-Shoulder Separation Explained in 90 Seconds,Diagnostic,1 - Diagnosis,1,none,"Defines separation as the pelvis and trunk separating: created by the pelvis rotating under a neutral trunk, the trunk counter-rotating, or both. Conceptual diagnostic.",,Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7509511371269147947,,Phase 3,3,"relevance: gives Landon/coach the model for what separation should feel like before drilling it."
Pivot Pickoff Throw,Staying Closed,2 - Pattern,2,"plyo ball or baseball","Pivot-pickoff constraint throw that loads counter-rotation/coil and teaches elite hip-shoulder separation by forcing the pelvis to lead while the trunk stays back.","8-10 throws",Tread Athletics YouTube,https://www.youtube.com/watch?v=F1hduSf5J_Y,,Phase 3,4,"Tread Pivot Pickoff modifications/variations. relevance: builds the coil + separation Landon never opens; keeps trunk closed as the pelvis fires."
Pivot Pickoff Modifications and Variations,Staying Closed,2 - Pattern,3,"plyo ball, baseball","Walks through modifications of the pivot pickoff to scale the separation/coil demand and clean up sequencing into landing.","8-10 throws",Tread Athletics YouTube,https://www.youtube.com/watch?v=espdyF-BEUU,,Phase 3,4,"Tread Pivot Pickoff series. relevance: scalable separation/coil work targeting Landon's no-coil, early-open pattern."
The Walking Windup Drill,Hip Rotation,2 - Pattern,3,"baseball or plyo ball","Walking windup that chains the back-chaining drill work into a more sport-specific moving delivery; rhythms the back-hip load and transition into the block.","6-8 throws",Tread Athletics YouTube,https://www.youtube.com/watch?v=1bwvha23-Fc,,Phase 4,4,"Tread Walking Windup series — transition drill. relevance: bridges the drop->rotate transition Landon fails, keeping flow into a posted front side."
Gain Velocity by Fixing Your Glove Arm (3 Glove Arm Drills),Staying Closed,2 - Pattern,2,"glove, plyo ball","Three glove-arm drills to stay closed: control the glove and pull the lead elbow down to the side as you rotate, holding the front side a beat longer rather than flying the glove open.","3 drills, 5 reps",Tread Athletics YouTube,https://www.youtube.com/watch?v=maBIuUqxnx0,,Phase 3,4,"relevance: glove-side discipline keeps the front side closed — directly attacks Landon's shoulders flying open early."
How to Feel the ""Hinge"" (Pitching Drills),Hip Rotation,2 - Pattern,2,"none or light plyo","Teaches the back-hip hinge/load so the pelvis can rotate from a hinged, loaded position rather than lunging or pushing off the back leg.","3 x 5",Tread Athletics YouTube,https://www.youtube.com/watch?v=HiJFPA7JgSo,,Phase 3,3,"relevance: builds the loaded back-hip position Landon gets (good drop) and teaches converting it to rotation, not a leak."
Mastering the Rocker Drill,Hip Rotation,2 - Pattern,2,"plyo ball or baseball","Rocker drill to teach proper weight shift and center-of-mass control — load back, then sequence the back leg into the move rather than drifting.","6-8 reps",Tread Athletics YouTube,https://www.youtube.com/watch?v=qs8NhAWrOig,,Phase 3,3,"relevance: cleans up the drift/weight-shift so Landon's back hip loads to rotate instead of leaking forward early."
The ""Drift"" — How to Shift Your Weight Like a Pro,Hip Rotation,1 - Diagnosis,2,"camera, mound","Article on shifting weight into the back hip correctly so the lower half can sequence; addresses drifting too early and losing the load.",,Tread Athletics blog,https://treadathletics.com/the-drift/,,Phase 3,3,"relevance: fixes early drift/leak that opens Landon's front side before the separation window."
TRX Drift Drill (Struggling to Feel Your Lower Half),Hip Rotation,2 - Pattern,2,"TRX/suspension strap","TRX-supported drift drill to feel loading into the back hip and sequencing the lower half without falling forward; isolates the back-leg load.","3 x 5",Tread Athletics YouTube,https://www.youtube.com/watch?v=XSWNr5BgTzk,,Phase 3,3,"relevance: TRX constraint helps Landon feel the back-hip load before rotation, reducing the early leak."
Drive Leg Mechanics to Increase Velocity & Reduce Arm Stress,Hip Rotation,1 - Diagnosis,2,"camera, mound","Breaks down rear-glute/hamstring drive (pull the ground back like a sprinter) vs quad push; back-hip drive that reduces arm stress.",,Tread Athletics YouTube,https://www.youtube.com/watch?v=1V5CmleRaoI,,Phase 3,4,"relevance: trains back-hip DRIVE (glute/ham) to stop the leak; lower arm stress matters for Landon's flexor-pronator history."
Problem Solving Your Lower Half Pitching Mechanics,Hip Rotation,1 - Diagnosis,3,"camera, mound","Cornerstone lower-half article: rear-glute drive, step-back drills, rotate vs lunge off the back leg, and front-leg brace in response to hip rotation.",,Tread Athletics blog,https://treadathletics.com/back-leg-mechanics/,,Phase 3,5,"relevance: covers Landon's whole lower-half chain — back-hip drive, rotate-not-lunge, and the lead-leg brace."
Re-thinking How the Back Hip Works Into Landing,Hip Rotation,1 - Diagnosis,2,none,"Reframes the unload: the pelvis (middle of the body) drives rotation into landing, not the rear femur slamming into IR. Better mental model for clearing the back hip.",,Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7429357491495963947,,Phase 3,3,"relevance: corrects how Landon should think about the back-hip unload so it rotates/clears instead of leaking."
Quick Pick Drill,Staying Closed,2 - Pattern,2,"plyo ball","Quick-pick constraint drill highlighted to clean up sequencing and timing into a closed front side; fast rep to groove rotate-late pattern.","8-10 reps",Tread Athletics (LinkedIn),https://www.linkedin.com/posts/tread-athletics-00a296207_drill-highlight-quick-pick-this-is-a-activity-6808848128033263616-jpTg,,Phase 3,3,"Tread drill highlight. relevance: grooves late rotation/closed sequencing — counters Landon's early front-hip swing."
How to Fix a Pushing Arm Action — 7 Causes and Solutions,Arm Path,1 - Diagnosis,3,"camera, plyo balls","Diagnoses 7 causes of a pushing arm action (too-heavy balls, fake layback via elbow flexion, lost hip-shoulder separation, tight lats/triceps, injury compensation) and the fixes — keep shoulders closed at landing so the arm stays in line and whips.",,Tread Athletics blog,https://treadathletics.com/7-causes-of-pushing/,,Phase 4,5,"relevance: directly addresses Landon's PUSH arm action; note the injury-compensation cause given his flexor-pronator history — keep ball weights <=6oz."
How to Sync the Arm into the Plane of Shoulder Rotation,Arm Path,2 - Pattern,3,"plyo ball, camera","Teaches keeping the arm IN the plane of shoulder rotation instead of finishing straight down when the torso flexes to 'throw strikes'; lets the trunk rotate the arm through in plane (spiral, not push).","3 x 5",Tread Athletics blog,https://treadathletics.com/plane-of-rotation/,,Phase 4,4,"relevance: converts Landon's push/out-of-plane finish into an in-plane spiral driven by trunk rotation."
The 3 Types of ""Muscling Up"" — How It Hurts Your Velocity,Arm Path,1 - Diagnosis,2,"camera",Explains three ways pitchers muscle up the arm (tense/push) instead of letting the trunk reflexively whip the arm into release; cue to relax the arm and let pecs/lats fire reflexively.,,Tread Athletics blog,https://treadathletics.com/muscling-up/,,Phase 4,3,"relevance: names the tense/push habit Landon defaults to without a braced front side; primes the whip feel."
3 Drills To Throw Harder By Transferring Energy,Velocity / CNS,3 - Loading,3,"plyo balls, baseball","Three transfer-of-energy drills chaining ground force -> hip rotation -> braced front leg -> trunk -> arm; loaded but sub-max constraint progression into throwing.","3 drills, 6-8 throws",Tread Athletics YouTube,https://www.youtube.com/watch?v=rsPBZZly-6M,,Phase 4,4,"relevance: trains the full energy transfer Landon loses; keep intent sub-max + balls <=6oz given conservative-load year."
Are Rotational Medicine Ball Throws the Key to Pitching Velocity?,Velocity / CNS,3 - Loading,3,"medicine ball (rotational)","Rotational med-ball throws (scoop/shotput/side) that correlate with throwing velocity; transverse-plane rotational power for hip-led sequencing.","3 x 5 each side",Tread Athletics blog,https://treadathletics.com/rmbt/,,Phase 4,4,"relevance: builds rotational CNS/power for hip-shoulder separation; underload/med-ball is arm-stress-safe for Landon's elbow history."
How Does Hip Anatomy Affect Your Ideal Mechanics?,Diagnostic,1 - Diagnosis,2,none,"Explains how individual hip anatomy (femoral version, range) shapes ideal stance/rotation, so cueing 'stay closed' and hip rotation is individualized rather than one-size-fits-all.",,Tread Athletics blog,https://treadathletics.com/how-does-hip-anatomy-affect-your-ideal-mechanics/,,Phase 3,3,"relevance: ensures Landon's stay-closed/hip-rotation targets are matched to his hip anatomy before loading the block."
