drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes,sources_count
How To Feel Hip-Shoulder Separation (band + counter-rotation constraints),Staying Closed,2 - Pattern,3,"resistance band, plyo ball","Two stacked constraints for pitchers who can't feel pelvis/trunk independence: (1) band tension to open the back hip, (2) a counter-rotation component. Cue: relax, don't force the hips through.",3 x 5 each,Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7519592623133265166,,Phase 3,4,"relevance: back-hip band tension + counter-rotation are the exact constraints for Landon's leaked back hip + lost separation",1
Pivot Pickoff Modifications and Variations,Staying Closed,2 - Pattern,3,"plyo ball, baseball","Walks through modifications of the pivot pickoff to scale the separation/coil demand and clean up sequencing into landing; high-speed slow-mo reference of the neutral vertical forearm and forward-rotation pattern to copy.",8-10 throws,Tread Athletics YouTube,https://www.youtube.com/watch?v=espdyF-BEUU,,Phase 3,4,"Tread Pivot Pickoff series; same slow-mo URL also used by Driveline + Bauer as a form-model reference (https://www.youtube.com/watch?v=espdyF-BEUU). relevance: scalable separation/coil work targeting Landon's no-coil, early-open pattern",3
Walking Windup Drill,Staying Closed,2 - Pattern,3,"baseball or plyo ball (225g/red)","A walker step into the leg kick using momentum directed at the target, chaining back-chaining drill work into a full-delivery feel while keeping the front side closed. LAST drill in the Driveline plyo routine and the Tread Walking Windup transition drill.",2 x 5,Tread Athletics YouTube,https://www.youtube.com/watch?v=1bwvha23-Fc,,Phase 4,4,"Surfaced by Tread (Walking Windup series) + Driveline (final drill in plyo throwing-program sequence, https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/ ). relevance: integrates staying-closed + momentum into a delivery-like pattern before transfer; bridges the drop->rotate transition Landon fails",2
Janitor Drill,Staying Closed,2 - Pattern,3,"Plyo Ball, wall","Constraint drill (studied in Driveline's drill-kinematics work) that constrains the lower half/arm path to feel sequencing — counter-rotation and delayed trunk rotation while the arm works back.",2 x 5,Driveline Constraint Drills,https://edu.drivelinebaseball.com/courses/pitching-102-plyocare-ball-drills,,Phase 4,3,"Constraint-drill family used in Driveline drill-constraint kinematics studies. relevance: trains delayed trunk rotation / staying closed while hips lead",1
Reverse Crunch (ribs-to-pelvis anterior core),Staying Closed,3 - Loading,2,mat,"Posterior pelvic tilt curling the pelvis toward the ribs without spinal hyperextension; teaches active control of the ribs-to-pelvis relationship under a little load.",3 x 8-10,Eric Cressey,https://ericcressey.com/lumbar-flexion-strength-training-programs-reverse-crunch/,,Phase 4,3,"Bring pelvis and rib cage together; controls anterior pelvic tilt. relevance: anti-extension core strength so Landon doesn't dump into extension and fly open at landing",1
Lead Hip Internal Rotation,Staying Closed,3 - Loading,2,"band or cable","Loaded lead-hip IR so the front hip can pull back/rotate around a posted leg and the pelvis can clear without the front side flying open.",3 x 8 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (2/7). relevance: front-hip IR lets the lead leg block instead of landing open — directly targets Landon's early fly-open",1
Ipsilateral Cable Row,Staying Closed,3 - Loading,2,cable column,"Same-side cable row to train connection between the front side and trunk — reinforces holding the front side/trunk closed against rotational pull.",3 x 8 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,2,"Tread weight-room lead-leg-block list (6/7). relevance: front-side connection so the trunk stays neutral/closed while the hips rotate (separation)",1
Throw Harder by Mastering the Lead Leg Block [Full Routine],Staying Closed,3 - Loading,3,"plyo balls, baseball, band","Full lead-leg-block routine: progresses from constraint pattern work into loaded throws emphasizing high ground reaction force and front-knee extension at max external rotation. Front leg posts to decelerate the pelvis and redirect energy up the chain.",follow routine,Tread Athletics YouTube,https://www.youtube.com/watch?v=wtjFwRegY_M,,Phase 4,5,"Tread Lead Leg Block 'Full Routine' series. relevance: the headline fix for Landon — converts hip drive into a braced front side that whips, not pushes, the arm",1
Throw Harder By Mastering Hip-Shoulder Separation [Full Routine],Staying Closed,3 - Loading,3,"plyo balls, band, baseball","Full separation routine: counter-rotation and band-tension constraints to feel the pelvis rotating underneath a neutral, closed trunk, progressing into loaded throws. Trunk stays closed while hips fire.",follow routine,Tread Athletics YouTube,https://www.youtube.com/watch?v=KHenXJxkm3Q,,Phase 4,5,"Tread Hip-Shoulder Separation 'Full Routine' series. relevance: restores the separation window Landon loses when his shoulders fly open with the hips",1
Creating Shoulder/Hip Separation | Tips with Trev Ep 21,Staying Closed,1 - Diagnosis,2,"camera, mound","Bauer explains what hip-shoulder separation is and why delaying the front side opening adds torque — keep the front side closed while the hips rotate so the shoulders arrive late. Conceptual breakdown plus on-mound demonstration.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 21),https://www.youtube.com/watch?v=KVno6crh5u8,,Phase 3,5,"Headline concept video for Landon. Cue: delay the front side, fire the back hip. relevance: defines the exact separation window Landon loses when his front side flies open early",1
Throw Harder By Using Hip Shoulder Separation,Staying Closed,1 - Diagnosis,2,"camera, mound","Explainer + drill on how separation is created and timed (positive separation at foot strike); diagnoses shoulders flying open early with the pelvis.",1 video,Tread Athletics YouTube,https://www.youtube.com/watch?v=CFuo1ijJYnc,,Phase 3,4,"relevance: identifies Landon's lost separation (shoulders open with hips) and the late-trunk fix",1
A Different Model for Cueing Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Video, plyo wall (concept)","Minimize internal cues, prefer external-focus cues, and use the plyo-ball wall to separate movement work from throwing. To get hip-shoulder separation the hips must rotate open while the trunk stays closed at footstrike; anti-rotation core stability enables it.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2017/05/different-model-cueing-pitching-mechanics/,,Phase 3,5,"Coaching framework for the separation cue. relevance: defines the staying-closed mechanism (hips open, trunk closed at footstrike) that Landon loses when shoulders fly open",1
Stability & Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Bands, cables (assessment)","Anti-rotation core stability lets athletes keep the trunk closed while the lower half and hips rotate open — the stability side of hip-shoulder separation.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2017/05/stability-pitching-mechanics/,,Phase 3,4,"Stability prerequisite for separation. relevance: anti-rotation trunk stability is what stops Landon's shoulders flying open at landing",1
Mobility & Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Foam roller, bands (assessment)","Overhead ROM depends on scapular upward rotation and T-spine extension; priorities are pain-free arm-overhead, sufficient GH internal/external rotation, and open hips to create hip-to-scap separation.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2017/05/mobility-pitching-mechanics/,,Phase 3,4,"Mobility prerequisites for separation. relevance: identifies the T-spine/hip mobility Landon needs to keep the trunk neutral while hips rotate",1
Improving Thoracic Mobility in Throwers (article),Staying Closed,1 - Diagnosis,2,foam roller,"Cressey's off-season T-spine progression for throwers: side-lying windmill, bent-over rotation, foam-roller extension. T-spine delivers the scapula; a deficit lets the humeral head migrate forward and stress the pec.",reference read,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,5,"Inadequate T-spine mobility = forward humeral migration + pec strain. relevance: the T-spine library that underpins Landon's staying-closed and clean arm-path prerequisites",1
How Rib Cage Positioning Impacts the Pitching Delivery (article),Staying Closed,1 - Diagnosis,2,none,"An extended posture with poor rib-cage/pelvic control makes it hard to rotate efficiently at front-foot-strike while holding the line to home. Poor control = misses up and flat breaking balls.",reference read,Eric Cressey,https://ericcressey.com/how-rib-cage-positioning-impacts-the-pitching-delivery/,,Phase 3,5,"Thorax is the center of force transfer; uncontrolled rib cage prevents efficient rotation at foot strike. relevance: directly explains Landon's shoulders-fly-open / trunk-not-neutral fault as a rib-cage-control problem",1
Pitching Performance: Trunk Position at Foot Strike (article),Staying Closed,1 - Diagnosis,3,none,"Cressey on what good trunk position at front-foot-strike looks like and the strength/control that produces it — stacked rib cage over pelvis, controlled lateral and rotational lean.",reference read,Eric Cressey,https://ericcressey.com/pitching-performance-trunk-position-foot-strike-3/,,Phase 4,4,"Trunk must arrive stacked and controlled at foot strike. relevance: the strength-coach picture of the braced, neutral trunk Landon currently loses when his shoulders fly open",1
Pitching Mechanics: Is Lead Leg Blocking Enough? (article),Staying Closed,1 - Diagnosis,3,none,"Cressey argues a good lead-leg block still fails to transfer force if limited upstream — chiefly inadequate thoracic flexion and scapular upward rotation. Connects the block to the chain above it.",reference read,Eric Cressey,https://ericcressey.com/pitching-mechanics-is-lead-leg-blocking-enough/,,Phase 4,5,"The block alone isn't enough without T-spine + scap upward rotation upstream. relevance: tells Landon WHY a braced front side won't whip the arm unless his T-spine/scap prerequisites are also fixed",1
Why We Don't Teach Equal and Opposite / Firm Front Side,Staying Closed,1 - Diagnosis,3,Video (concept),"A glove-blocking 'firm front side' that stops deceleration short kills shoulder angular rotational velocity and adds shoulder/neck stress. The lead leg blocks but the glove side should not jam — nuance on front-side discipline.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2013/10/dont-teach-equal-opposite-firm-front-side/,,Phase 4,4,"Nuance: lead-LEG block yes, glove-jam no. relevance: refines Landon's front-side fix — block with the leg, keep the glove/trunk discipline without over-blocking",1
How To Throw Harder | Tips with Trev Ep 22,Staying Closed,1 - Diagnosis,3,"camera, radar gun","Bauer: the more you delay hips and shoulders opening while moving toward home, the more tension/torque you store; fire the back hip with the front side closed for more impulse at release. Ties separation directly to velocity.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 22),https://www.youtube.com/watch?v=l1dZ5z9dnXc,,Phase 3,5,"Cue: torque = delayed opening. relevance: explains why Landon's early-open front side bleeds velocity — staying closed is the fix",1
How We Interpret Biomechanics Reports,Staying Closed,1 - Diagnosis,3,Motion capture (concept),"How Driveline reads a biomech report — staying stacked/closed (negative trunk angle/tilt at foot plant) can produce ~48 degrees hip-shoulder separation (elite); separation ties to trunk rotation velocity and pitch velocity.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2019/03/interpret-biomechanics-reports/,,Phase 3,5,"Diagnostic frame for separation metrics. relevance: gives the target (stacked/closed at foot plant -> big separation) that Landon's early-open pattern fails to hit",1
Lead Hip Flexion (hamstring loaded),Hip Rotation,3 - Loading,2,"cable or band, bench","Weight-room lead-leg-block builder: loaded hip flexion biased to the hamstring to strengthen the front-hip's ability to absorb and post against landing forces.",3 x 8 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread 'lead leg block exercises in the weight room' list (1/7). relevance: builds front-hip capacity to brace — prerequisite for the lead-leg block Landon can't currently hold",1
Hip Airplanes,Hip Rotation,2 - Pattern,2,optional band/cable,"Single-leg hip airplane to train controlled hip IR/ER and single-leg stability — the front-leg posting/balance demand of a lead-leg block.",3 x 5 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (3/7). relevance: trains the front leg to post and rotate around without collapsing — the brace Landon lacks",1
Split-Stance MB Taps,Hip Rotation,3 - Loading,2,medicine ball,"Split-stance med-ball taps in a stride-like position to train front-leg bracing and rhythmic rotation off a stable front side.",3 x 6 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (5/7). relevance: stride-specific bracing rep — front leg posts while trunk rotates, mirroring the block Landon needs",1
Fixing Your Lead Leg Block: Hip Rotation w/ Strap,Hip Rotation,2 - Pattern,3,"resistance strap/band, partner or anchor","Strap anchored to drive hip rotation into a braced front leg; teaches the back hip to clear/rotate AROUND a posted front leg rather than drifting open. The front leg blocks and extends as the pelvis rotates through.",3 x 5 each,Tread Athletics YouTube,https://www.youtube.com/watch?v=o3SqB6symC0,,Phase 3,5,"Tread Lead Leg Block series — strap-constraint variation. relevance: fixes the leaking back hip + open front-leg landing; trains rotate-into-block, Landon's #1/#2 seam",1
Static 45 Skier (Top 3 Drills for PERFECT Mechanics),Hip Rotation,2 - Pattern,3,plyo ball,"Split stance with back foot at 45 degrees and heel off the ground; load the glove side then rotate/fire the back hip and throw. Trains the back hip to drive and clear rather than leak.",3 x 5,Trevor Bauer YouTube (Top 3 Drills for PERFECT Mechanics),https://www.facebook.com/TrevorBauerOfficial/videos/3-drills-for-perfect-mechanics/668322439484135/,,Phase 3,4,"Cue: fire and clear the back hip. relevance: fixes back-hip leak / drop-no-rotate transition by isolating trail-hip drive",1
Posture Squat (Top 3 Drills for PERFECT Mechanics),Hip Rotation,2 - Pattern,3,plyo ball,"Feet ~shoulder width, squat as low as possible to load both hips, then kick the lead leg and rotate — combines the Pec Sequence and Static 45 Skier into one seamless drop-to-rotate transition.",3 x 5,Trevor Bauer YouTube (Top 3 Drills for PERFECT Mechanics),https://www.facebook.com/TrevorBauerOfficial/videos/3-drills-for-perfect-mechanics/668322439484135/,,Phase 3,5,"Bauer's most important of the three — chains the other two. relevance: directly trains the good-drop-then-rotate sequence Landon is missing",1
Pivot Pickoff Throws (back-hip drive),Hip Rotation,2 - Pattern,2,"Plyo Balls (1kg/green, 450g/blue), wall","Start side-on; counter-rotate and hang the throwing hand back, then drive the back hip and wrist over the elbow into the wall. Trains forward rotation sequencing, medial-forearm strength, and pronation timing. Performed early in the plyo routine after reverse throws.",2 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 1kg green + 450g blue plyo. Forces back-hip drive before arm — directly targets the drop-to-rotate failure. relevance: trains back-hip rotation/clearing so the trail hip stops leaking energy. NOTE: same drill family as the Staying-Closed Pivot Pickoff row — this row is the heavier-ball / back-hip-drive variant",3
How to Feel the \"Hinge\" (Pitching Drills),Hip Rotation,2 - Pattern,2,none or light plyo,"Teaches the back-hip hinge/load so the pelvis can rotate from a hinged, loaded position rather than lunging or pushing off the back leg.",3 x 5,Tread Athletics YouTube,https://www.youtube.com/watch?v=HiJFPA7JgSo,,Phase 3,3,"relevance: builds the loaded back-hip position Landon gets (good drop) and teaches converting it to rotation, not a leak",1
Step Back Drill,Hip Rotation,2 - Pattern,2,"Plyo Ball or baseball","Face the target, take one step back with the drive leg, then step forward to throw. Simplifies the load so the athlete can feel back-leg engagement before adding momentum.",2 x 5,Driveline Constraint Drills (Foundations of Pitching),https://edu.drivelinebaseball.com/courses/foundationsofpitching,,Phase 3,3,"Constraint-drill family; entry-level back-leg loader. relevance: isolates trail-leg drive feeding the hip rotation Landon stalls on",1
Drop Step Throws,Hip Rotation,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red)","Step back with the back leg, gather into a coil keeping the back hip externally rotated and the outside of the foot anchored, then throw. Anchors the back leg and improves glute/hamstring activation into the drive.",2 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"Throwing-program sequence member; precursor to Walking Windups. relevance: anchors back hip in external rotation so it can rotate/clear instead of leaking",1
TRX Drift Drill (Struggling to Feel Your Lower Half),Hip Rotation,2 - Pattern,2,TRX/suspension strap,"TRX-supported drift drill to feel loading into the back hip and sequencing the lower half without falling forward; isolates the back-leg load.",3 x 5,Tread Athletics YouTube,https://www.youtube.com/watch?v=XSWNr5BgTzk,,Phase 3,3,"relevance: TRX constraint helps Landon feel the back-hip load before rotation, reducing the early leak",1
Mastering the Rocker Drill,Hip Rotation,2 - Pattern,3,"plyo ball or baseball (225g/red)","Set feet wider than stride with front foot slightly closed; rock back and forth 1-3 times to load the back leg and create rhythm, then throw to a target. Trains weight shift, back-leg loading, center-of-mass control and front-leg strength. Prescribed a few weeks in after other mechanics clean up.",2 x 5,Tread Athletics YouTube,https://www.youtube.com/watch?v=qs8NhAWrOig,,Phase 3,4,"Surfaced by Tread + Driveline (throwing-program sequence member, finishes in a delivery-like position, https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/ ). relevance: cleans up drift/weight-shift so the back hip loads to rotate into a braced front leg instead of leaking forward",2
Lying Knee-to-Knee Stretch (hip IR / adductor mobility family),Hip Rotation,2 - Pattern,2,mat,"Supine, soles together; actively internally rotate the femurs so the stretch occurs at the hips not the knees. Direct hip IR mobilization. Coach the IR action to avoid knee valgus stress.",2 x 30-45s,Eric Cressey,https://ericcressey.com/newsletter152html/,,Phase 3,4,"Anchor of Cressey's hip-IR / adductor-mobility family — interchangeable variants folded here: Supine Dynamic Hip IR Stretch (https://ericcressey.com/flexibility-deficits-in-pitchers/), Split-Stance Kneeling Adductor Mob (https://ericcressey.com/5-strategies-quickly-increasing-mobility/), Left-Stance Toe Touch (https://ericcressey.com/mobility-exercise-of-the-week-left-stance-toe-touch/), Table Adductor Dips (https://ericcressey.com/mobility-exercise-of-the-week-table-adductor-dips/). Actively IR the femurs — stretch is at the hip, never let the knees collapse. relevance: opens lead-leg hip internal rotation so the front hip can post instead of swinging open early",1
Kneeling Glute Mobilization (hip IR),Hip Rotation,2 - Pattern,2,none,"Half-kneeling drill that tactfully works hip internal rotation by rotating over a fixed femur without cranking the joint. One of Cressey's favorite hip-IR drills.",2 x 8 each side,Eric Cressey,https://www.facebook.com/CresseyTrainingSystems/videos/1027330287318075/,,Phase 3,3,"Work hip IR without cranking the joint. relevance: low-stress hip-IR builder for the lead-leg-block / front-hip-post prerequisite",1
Wall Hip Flexor Mobilization,Hip Rotation,2 - Pattern,2,"wall, mat","Half-kneeling hip-flexor/anterior-hip stretch against the wall to restore hip extension while keeping ribs down and core braced (no lumbar arch).",2 x 5 each side,Eric Cressey,https://ericcressey.com/exercise-of-the-week-wall-hip-flexor-mobilization/,,Phase 3,3,"Get hip extension without arching the low back. relevance: hip-extension deficit forces a lumbar-arch compensation that throws Landon's trunk into extension and open",1
Rotational KB Swing,Hip Rotation,3 - Loading,3,kettlebell,"Rotational kettlebell swing to train ballistic transverse-plane hip drive and clearing — back-hip rotation power feeding into a braced front side.",3 x 6 each,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (4/7). relevance: trains back-hip rotation/clearing power so the hip drives the block rather than leaking",1
3D Strap Rotations,Hip Rotation,3 - Loading,3,strap/band anchor,"Multi-plane strap rotations driving hip-led rotation through the front-leg block in all three planes; patterns rotate-into-brace.",3 x 5 each plane,Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (7/7). relevance: rehearses hip rotation INTO a posted front leg — the rotate-then-block sequence Landon misses",1
Lateral Lunge with Band Overhead Reach,Hip Rotation,3 - Loading,3,resistance band,"Combo drill: lateral lunge loading the adductors/back hip while a banded overhead reach challenges rotary + anterior core — mimics riding the back hip down the mound under control.",3 x 6 each side,Eric Cressey,https://ericcressey.com/exercise-of-the-week-integrating-hip-mobility-with-core-stability/,,Phase 4,4,"Ride the back hip down while controlling the trunk. relevance: pairs back-hip loading with anti-extension core — exactly the back-hip-drive-without-leaking pattern Landon needs",1
Supine Bridge with Reach,Hip Rotation,3 - Loading,2,mat,"Glute bridge to terminal hip extension while reaching the arms back to add thoracic rotation/mobility — couples hip extension with T-spine motion as happens in delivery.",3 x 8,Eric Cressey,https://ericcressey.com/exercise-of-the-week-supine-bridge-w-reach/,,Phase 4,3,"Hips extend AND T-spine keeps rotating. relevance: links posterior-chain hip extension with T-spine rotation — the back-hip-drive-into-separation coupling",1
Bowler Squats,Hip Rotation,3 - Loading,3,optional light DB,"Single-leg hinge with a rotational reach across the planted leg; trains glute med/posterior-chain control of the pelvis on one leg under a frontal/rotational demand.",3 x 6 each side,Eric Cressey,https://www.youtube.com/watch?v=X5xW-eVRg6c,,Phase 4,4,"Control the pelvis on one leg — don't let the knee cave. relevance: builds the single-leg glute-med strength that braces the lead leg block and stabilizes back-hip drive",1
Split-Stance Hip Abduction End-Range Lift-off,Hip Rotation,3 - Loading,3,none,"Split-stance glute-med activation lifting the leg at end range to strengthen the hip abductors/external rotators that keep the knee from caving in single-leg.",3 x 8 each side,Eric Cressey,https://ericcressey.com/mobility-exercise-of-the-week-split-stance-hip-abduction-end-range-lift-off/,,Phase 4,3,"Glute med weakness = knee collapses medially in single-leg. relevance: strengthens the abductors that keep the lead leg from collapsing/landing open in the block",1
Fix Your Lower Half Mechanics | Tips with Trev Ep 3,Hip Rotation,2 - Pattern,2,"mound, camera","Bauer teaches lower-half mechanics: back-hip load, hip drive toward the plate, lead-leg landing and the front-side block. Walks through how the lower half should sequence into the throw.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 3),https://www.youtube.com/watch?v=It6KWIF3llo,,Phase 3,4,"Cue: drive the back hip, post the front leg. relevance: targets back-hip leak and the lead-leg block Landon never establishes",1
