drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Left-Stance / Split-Stance Toe Touch,Hip Rotation,2 - Pattern,2,none,"Single-leg-stance toe touch: get into one hip by activating that hip's adductors to pull back to neutral; teaches hip hinge + posterior weight shift on one leg.",2 x 6 each side,Eric Cressey,https://ericcressey.com/mobility-exercise-of-the-week-left-stance-toe-touch/,,Phase 3,3,"Get INTO the hip, then pull back to neutral with the adductors. relevance: trains single-leg hip loading/control that underpins back-hip drive and the lead-leg post."
Table Adductor Dips,Hip Rotation,2 - Pattern,2,"table or bench","Standing dips that take the hip through angles matching the pitching delivery; warm-up and off-season hip mobility for throwers.",2 x 8 each side,Eric Cressey,https://ericcressey.com/mobility-exercise-of-the-week-table-adductor-dips/,,Phase 3,3,"Parallels the hip angles of the delivery. relevance: builds usable hip ROM in pitching-specific positions for back-hip clearing."
Wall Hip Flexor Mobilization,Hip Rotation,2 - Pattern,2,"wall, mat","Half-kneeling hip-flexor/anterior-hip stretch against the wall to restore hip extension while keeping ribs down and core braced (no lumbar arch).",2 x 5 each side,Eric Cressey,https://ericcressey.com/exercise-of-the-week-wall-hip-flexor-mobilization/,,Phase 3,3,"Get hip extension without arching the low back. relevance: hip-extension deficit forces a lumbar-arch compensation that throws Landon's trunk into extension and open."
Lateral Lunge with Band Overhead Reach,Hip Rotation,3 - Loading,3,"resistance band","Combo drill: lateral lunge loading the adductors/back hip while a banded overhead reach challenges rotary + anterior core — mimics riding the back hip down the mound under control.",3 x 6 each side,Eric Cressey,https://ericcressey.com/exercise-of-the-week-integrating-hip-mobility-with-core-stability/,,Phase 4,4,"Ride the back hip down while controlling the trunk. relevance: pairs back-hip loading with anti-extension core — exactly the back-hip-drive-without-leaking pattern Landon needs."
Supine Bridge with Reach,Hip Rotation,3 - Loading,2,"mat","Glute bridge to terminal hip extension while reaching the arms back to add thoracic rotation/mobility — couples hip extension with T-spine motion as happens in delivery.",3 x 8,Eric Cressey,https://ericcressey.com/exercise-of-the-week-supine-bridge-w-reach/,,Phase 4,3,"Hips extend AND T-spine keeps rotating. relevance: links posterior-chain hip extension with T-spine rotation — the back-hip-drive-into-separation coupling."
Bowler Squats,Hip Rotation,3 - Loading,3,"optional light DB","Single-leg hinge with a rotational reach across the planted leg; trains glute med/posterior-chain control of the pelvis on one leg under a frontal/rotational demand.",3 x 6 each side,Eric Cressey,https://www.youtube.com/watch?v=X5xW-eVRg6c,,Phase 4,4,"Control the pelvis on one leg — don't let the knee cave. relevance: builds the single-leg glute-med strength that braces the lead leg block and stabilizes back-hip drive."
How Strength and Mobility Impact the Pitching Stride (article),Hip Rotation,1 - Diagnosis,3,none,"Cressey on the posterior chain as a counterbalance: engage glutes/hamstrings instead of swinging the front leg into landing — start like a one-leg squat to feel glute/ham, then lateral lunge to keep adductors controlling the pelvis.",reference read,Eric Cressey,https://ericcressey.com/how-strength-and-mobility-impact-the-pitching-stride/,,Phase 4,5,"Lead leg as counter-balance, not the primary power source. relevance: the strength-coach blueprint for the lead-leg block — stop swinging the front leg open, use the posterior chain to control the stride."
Pitching Mechanics: Is Lead Leg Blocking Enough? (article),Staying Closed,1 - Diagnosis,3,none,"Cressey argues a good lead-leg block still fails to transfer force if limited upstream — chiefly inadequate thoracic flexion and scapular upward rotation. Connects the block to the chain above it.",reference read,Eric Cressey,https://ericcressey.com/pitching-mechanics-is-lead-leg-blocking-enough/,,Phase 4,5,"The block alone isn't enough without T-spine + scap upward rotation upstream. relevance: tells Landon WHY a braced front side won't whip the arm unless his T-spine/scap prerequisites are also fixed."
Split-Stance Hip Abduction End-Range Lift-off,Hip Rotation,3 - Loading,3,none,"Split-stance glute-med activation lifting the leg at end range to strengthen the hip abductors/external rotators that keep the knee from caving in single-leg.",3 x 8 each side,Eric Cressey,https://ericcressey.com/mobility-exercise-of-the-week-split-stance-hip-abduction-end-range-lift-off/,,Phase 4,3,"Glute med weakness = knee collapses medially in single-leg. relevance: strengthens the abductors that keep the lead leg from collapsing/landing open in the block."
Forearm Wall Slide with Band,Arm Path,2 - Pattern,2,"resistance band, wall","Forearms on wall shoulder-width, elbows 90deg, slide up and out without shrugging; band cues serratus/lower-trap to drive scapular upward rotation so the upper trap doesn't dominate.",2 x 8-10,Eric Cressey,https://ericcressey.com/exercises-of-the-week-serratus-wall-slides/,,Phase 3,4,"Slide up and out, no shrug — serratus + lower trap do the rotating. relevance: scap upward-rotation deficit keeps the hand from getting out front; this cleans the arm path off a braced front side."
Serratus Wall Slide Variations,Arm Path,2 - Pattern,2,"wall","Progression of wall-slide variants (forearm, J-band, med-ball) building dynamic scapular upward rotation and serratus control for overhead positions.",2 x 8 each variation,Eric Cressey,https://www.youtube.com/watch?v=EugElNVC2BU,,Phase 3,4,"Serratus is the rotation component of scapular upward rotation. relevance: pitchers need more scap upward rotation than any other athlete — this is the arm-path prerequisite for whip not push."
Back-to-Wall Shoulder Flexion,Arm Path,2 - Pattern,2,"wall","Stand back to wall, ribs down, raise arms overhead keeping low back flat and ribs down; exposes whether shoulder flexion comes from the scap/T-spine or a lumbar-arch compensation.",2 x 8,Eric Cressey,https://ericcressey.com/training-the-rotator-cuff-and-scapular-stabilizers-simultaneously/,,Phase 3,3,"Reach overhead without arching the back or flaring the ribs. relevance: screens/trains overhead capacity so the arm can lay back off a stacked trunk instead of an extended one."
Prone 1-arm Trap Raise (Prone Y),Arm Path,3 - Loading,3,"light dumbbell, bench","Prone on incline, raise arm to a Y to strengthen lower trap and correct an anteriorly-tilted scapula; troubleshooting cues keep the upper trap quiet.",3 x 8-10 each arm,Eric Cressey,https://www.youtube.com/watch?v=jzRpo0mv328,,Phase 4,4,"Lower trap drives it; keep the upper trap from taking over. relevance: corrects anterior scap tilt so the scapula upwardly rotates and posts the arm — clean arm path prerequisite."
Prone External Rotation,Arm Path,3 - Loading,3,"light dumbbell, bench","Prone posterior-cuff drill: externally rotate the humeral head without anterior migration; gravity pulls the scap into anterior tilt so the lower trap must fire to counteract.",3 x 8-12 each arm,Eric Cressey,https://ericcressey.com/strength-exercise-of-the-week-prone-external-rotation/,,Phase 4,4,"ER the humeral head without it sliding forward; lower trap holds the scap. relevance: posterior-cuff + scap control that protects the shoulder and supports layback in the arm path."
Enhancing Scapular Dynamic Control,Arm Path,2 - Pattern,3,"resistance band","Cressey video on dynamic scapular control for the overhead athlete — coordinating cuff and scap stabilizers through range rather than static holds.",2 x 8-10,Eric Cressey,https://www.youtube.com/watch?v=71m1m0hbavI,,Phase 4,4,"Train cuff and scap stabilizers together, dynamically. relevance: dynamic scap control is what lets the arm spiral cleanly instead of the shoulder flying open and pushing."
Half-Kneeling Cable External Rotation - Scapular Plane,Arm Path,3 - Loading,3,"cable, half-kneeling pad","Half-kneeling cable ER in the scapular plane; the half-kneel locks the lower body so the cuff/scap work in a pitching-relevant plane with anti-rotation core demand.",3 x 10 each arm,Eric Cressey,https://www.youtube.com/watch?v=sH1qaz0WH_M,,Phase 4,4,"Work the cuff in the scapular plane, core braced. relevance: scap-plane cuff strength + anti-rotation core = the stable shoulder/trunk that lets the arm whip not push."
One-Arm Band Rotational Row from Low Setting,Arm Path,3 - Loading,3,"resistance band","Low-to-high rotational row emphasizing getting the hand up-and-out in front; Cressey programs it as the last drill before a pitcher picks up the ball.",2 x 8 each side,Eric Cressey,https://ericcressey.com/scapular-movement-pitch-location/,,Phase 4,3,"Get up and out in front. relevance: grooves the up-and-out-front scap/arm action — the pre-throw primer for getting the hand out front instead of pushing."
13 Tips for Mighty Elbows and Wrists (article),Velocity / CNS,1 - Diagnosis,2,"dumbbells, soft tissue tools","Cressey's elbow/wrist durability tips: wrist flexion/extension, pronation/supination, radial/ulnar deviation, grip, and soft-tissue work on the flexor mass; balance the forearm musculature.",reference read,Eric Cressey,https://ericcressey.com/13-tips-for-mighty-elbows-and-wrists/,,Phase 3,4,"Train all forearm actions + soft tissue the flexors. relevance: directly addresses Landon's flexor-pronator / medial-elbow durability — the conservative-load non-negotiable."
Banded Pronation (flexor-pronator activation),Velocity / CNS,3 - Loading,2,"resistance band","Elastic-band resisted forearm pronation; research-validated to selectively activate the flexor-pronator mass that dynamically stabilizes the elbow against valgus.",3 x 12-15 each arm,Eric Cressey,https://ericcressey.com/everything-elbow/,,Phase 3,4,"Pronation under band load lights up the flexor-pronator mass. relevance: builds the dynamic valgus stabilizer protecting Landon's medial elbow — his primary injury risk."
Banded Ulnar Deviation (FCU emphasis),Velocity / CNS,3 - Loading,2,"resistance band","Resisted ulnar deviation targeting flexor carpi ulnaris, the biggest dynamic protector of the UCL during throwing.",3 x 12-15 each arm,Eric Cressey,https://ericcressey.com/everything-elbow/,,Phase 3,4,"FCU is the #1 dynamic protector of the UCL. relevance: strengthens the exact muscle that mitigates medial-elbow gapping for Landon's flexor-pronator history."
Palmar Fascia / Forearm Flexor Soft-Tissue Work,Velocity / CNS,2 - Pattern,1,"lacrosse ball or massage tool","Self soft-tissue work on the palmar fascia and anteromedial forearm flexors to manage tissue quality; pair with Graston/ART-style work for symptomatic elbows.",1-2 min each arm,Eric Cressey,https://ericcressey.com/mobility-exercise-palmar-fascia-soft-tissue/,,Phase 3,3,"Keep the flexor mass supple — forearm tightness is the warning sign. relevance: tissue-quality maintenance on the flexor-pronator mass; forearm tightness is Landon's documented early warning."
Understanding Elbow Pain - Functional Anatomy (article),Diagnostic,1 - Diagnosis,2,none,"Cressey on the common flexor tendon anatomy (FCR, FCU, palmaris, FDS, pronator teres) and how the flexor-pronator mass dynamically stabilizes the elbow against valgus load.",reference read,Eric Cressey,https://ericcressey.com/understanding-elbow-pain-part-1-functional-anatomy/,,Phase 3,4,"The flexor-pronator mass is the dynamic valgus stabilizer of the elbow. relevance: explains WHY pronator/flexor strengthening protects Landon's medial elbow — the rationale for the durability block."
