week,day,distance_ft,throws,intensity,drill_or_note,day_total_throws,volume
Week 4,Day 1,60.0,10.0,0.75,pitch grips,,
Week 4,Day 1,60.0,20.0,0.8,fastball,,
Week 4,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 4,Day 2,90.0,8.0,0.75,,,
Week 4,Day 2,105.0,15.0,0.8,,,
Week 4,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 4,Day 3,90.0,8.0,0.75,,,
Week 4,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 4,Day 4,90.0,5.0,0.75,,,
Week 4,Day 4,105.0,8.0,0.8,,,
Week 4,Day 4,120.0,5.0,0.85,,,
Week 4,Day 4,105.0,2.0,1.0,pulldown,,
Week 4,Day 4,90.0,2.0,1.0,pulldown,,
Week 4,Day 4,60.0,10.0,0.75,pitch grips,,
Week 4,Day 4,60.0,20.0,0.8,fastball,,
Week 5,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 1,90.0,5.0,0.75,,,
Week 5,Day 1,105.0,8.0,0.8,,,
Week 5,Day 1,120.0,5.0,0.85,,,
Week 5,Day 1,105.0,3.0,1.0,pulldown,,
Week 5,Day 1,90.0,3.0,1.0,pulldown,,
Week 5,Day 1,60.0,10.0,0.75,pitch grips,,
Week 5,Day 1,60.0,25.0,0.8,fastball,,
Week 5,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 2,90.0,8.0,0.75,,,
Week 5,Day 2,105.0,15.0,0.8,,,
Week 5,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 3,90.0,8.0,0.75,,,
Week 5,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 5,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 5,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 5,Day 4,90.0,5.0,0.75,,,
Week 5,Day 4,105.0,8.0,0.8,,,
Week 5,Day 4,120.0,5.0,0.85,,,
Week 5,Day 4,105.0,3.0,1.0,pulldown,,
Week 5,Day 4,90.0,3.0,1.0,pulldown,,
Week 5,Day 4,60.0,10.0,0.75,pitch grips,,
Week 5,Day 4,60.0,25.0,0.8,fastball,,
Week 6,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 1,90.0,5.0,0.75,,,
Week 6,Day 1,105.0,8.0,0.8,,,
Week 6,Day 1,120.0,5.0,0.85,,,
Week 6,Day 1,105.0,3.0,1.0,pulldown,,
Week 6,Day 1,90.0,3.0,1.0,pulldown,,
Week 6,Day 1,60.0,10.0,0.75,pitch grips,,
Week 6,Day 1,60.0,30.0,0.85,mix in change ; ramp up intensity of FB (85-90%),,
Week 6,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 2,90.0,8.0,0.75,,,
Week 6,Day 2,105.0,15.0,0.8,,,
Week 6,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 3,90.0,8.0,0.75,,,
Week 6,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 6,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 6,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 6,Day 4,90.0,5.0,0.75,,,
Week 6,Day 4,105.0,8.0,0.8,,,
Week 6,Day 4,120.0,5.0,0.85,,,
Week 6,Day 4,105.0,3.0,1.0,pulldown,,
Week 6,Day 4,90.0,3.0,1.0,pulldown,,
Week 6,Day 4,60.0,10.0,0.75,pitch grips,,
Week 6,Day 4,60.0,30.0,0.85,mix in change ; ramp up intensity of FB (85-90%),,
Week 7,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 7,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 7,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 7,Day 1,90.0,5.0,0.75,,,
Week 7,Day 1,105.0,8.0,0.8,,,
Week 7,Day 1,120.0,5.0,0.85,,,
Week 7,Day 1,105.0,3.0,1.0,pulldown,,
Week 7,Day 1,90.0,3.0,1.0,pulldown,,
Week 7,Day 1,60.0,10.0,0.75,pitch grips,,
Week 7,Day 1,60.0,40.0,0.9,mix in change ; ramp up intensity of FB (90%),,
Week 7,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 7,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 7,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 7,Day 2,90.0,8.0,0.75,,,
Week 7,Day 2,105.0,15.0,0.8,,,
Week 7,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 7,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 7,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 7,Day 3,90.0,8.0,0.75,,,
Week 7,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 7,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 7,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 7,Day 4,90.0,5.0,0.75,,,
Week 7,Day 4,105.0,8.0,0.8,,,
Week 7,Day 4,120.0,5.0,0.85,,,
Week 7,Day 4,105.0,3.0,1.0,pulldown,,
Week 7,Day 4,90.0,3.0,1.0,pulldown,,
Week 7,Day 4,60.0,10.0,0.75,pitch grips,,
Week 7,Day 4,60.0,20.0,0.8,mix in change up/breaking stuff ; FB mech feel around 80 % more focus on pitch shape blending,,
Week 8,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 8,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 8,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 8,Day 1,90.0,5.0,0.75,,,
Week 8,Day 1,105.0,8.0,0.8,,,
Week 8,Day 1,120.0,5.0,0.85,,,
Week 8,Day 1,105.0,3.0,1.0,pulldown,,
Week 8,Day 1,90.0,3.0,1.0,pulldown,,
Week 8,Day 1,60.0,10.0,0.75,pitch grips,,
Week 8,Day 1,60.0,45.0,0.95,All pitches; FB sitting 90-95 %,,
Week 8,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 8,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 8,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 8,Day 2,90.0,8.0,0.75,,,
Week 8,Day 2,105.0,15.0,0.8,,,
Week 8,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 8,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 8,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 8,Day 3,90.0,8.0,0.75,,,
Week 8,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 8,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 8,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 8,Day 4,90.0,5.0,0.75,,,
Week 8,Day 4,105.0,8.0,0.8,,,
Week 8,Day 4,120.0,8.0,0.85,,,
Week 8,Day 4,105.0,5.0,1.0,pulldown,,
Week 8,Day 4,90.0,5.0,1.0,pulldown,,
Week 8,Day 4,60.0,20.0,0.8,Command pen all pitches,,
Week 9,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 9,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 9,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 9,Day 1,90.0,5.0,0.75,,,
Week 9,Day 1,105.0,8.0,0.8,,,
Week 9,Day 1,120.0,5.0,0.85,,,
Week 9,Day 1,105.0,3.0,1.0,pulldown,,
Week 9,Day 1,90.0,3.0,1.0,pulldown,,
Week 9,Day 1,60.0,10.0,0.75,pitch grips,,
Week 9,Day 1,60.0,50.0,0.95,All pitches; FB sitting 90-95 %,,
Week 9,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 9,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 9,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 9,Day 2,90.0,8.0,0.75,,,
Week 9,Day 2,105.0,15.0,0.8,,,
Week 9,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 9,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 9,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 9,Day 3,90.0,8.0,0.75,,,
Week 9,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 9,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 9,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 9,Day 4,90.0,5.0,0.75,,,
Week 9,Day 4,105.0,8.0,0.8,,,
Week 9,Day 4,120.0,8.0,0.85,,,
Week 9,Day 4,105.0,5.0,1.0,pulldown,,
Week 9,Day 4,90.0,5.0,1.0,pulldown,,
Week 9,Day 4,60.0,20.0,0.8,Command pen all pitches,,
